,ID,area_type,availability,location,size,society,total_sqft,bath,balcony,dist_from_city
0,0,Super built-up  Area,Ready To Move,Chamrajpet,2 BHK,Unknown,650,1.0,1.0,6.7
1,1,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,SrncyRe,1370,2.0,1.0,11.0
2,2,Super built-up  Area,Ready To Move,Whitefield,3 BHK,AjhalNa,1725,3.0,2.0,17.3
3,3,Built-up  Area,Ready To Move,Jalahalli,2 BHK,Unknown,1000,2.0,0.0,16.6
4,4,Plot  Area,Ready To Move,TC Palaya,1 Bedroom,Unknown,1350,1.0,0.0,12.2
5,5,Plot  Area,Ready To Move,7th Phase JP Nagar,4 Bedroom,Unknown,3200,4.0,2.0,11.0
6,6,Super built-up  Area,Ready To Move,Bellandur,3 BHK,Unknown,1717,3.0,2.0,12.9
7,7,Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2.0,1.0,26.5
8,8,Super built-up  Area,Ready To Move,Shanthi Pura,2 BHK,ShtonDw,800,2.0,1.0,
9,9,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2367,4.0,3.0,9.6
10,10,Super built-up  Area,Ready To Move,Sonnenahalli,3 BHK,DSgam S,1415,2.0,1.0,16.8
11,11,Super built-up  Area,19-Dec,7th Phase JP Nagar,3 BHK,Puarero,1976,3.0,1.0,11.0
12,12,Super built-up  Area,Ready To Move,Kambipura,2 BHK,Unknown,883,2.0,1.0,23.2
13,13,Super built-up  Area,Ready To Move,Yelahanka,1 BHK,BCivell,700,1.0,1.0,20.8
14,14,Super built-up  Area,Ready To Move,Sarjapur,3 BHK,Coa 3t ,1445,3.0,1.0,17.2
15,15,Super built-up  Area,19-Dec,Battarahalli,3 BHK,PaontWa,2082,3.0,2.0,12.9
16,16,Super built-up  Area,Ready To Move,HSR Layout,2 BHK,NRosete,1140,2.0,2.0,10.5
17,17,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,933,2.0,1.0,11.5
18,18,Plot  Area,Ready To Move,NRI Layout,4 Bedroom,Unknown,800,5.0,1.0,12.8
19,19,Built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Unknown,1155,2.0,1.0,19.3
20,20,Super built-up  Area,Ready To Move,Whitefield,2 BHK,SMuilan,1130,2.0,1.0,17.3
21,21,Super built-up  Area,Ready To Move,Bannerghatta,2 BHK,Unknown,1200,2.0,2.0,20.4
22,22,Super built-up  Area,Ready To Move,Basaveshwara Nagar Yelahanka,2 BHK,Unknown,1055,2.0,1.0,18.1
23,23,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,SradeSr,1555,3.0,2.0,9.6
24,24,Super built-up  Area,Ready To Move,Bellandur,3 BHK,CVnetnc,1420,3.0,2.0,12.9
25,25,Super built-up  Area,20-Apr,Viviani Road,3 BHK,Unknown,2214,3.0,2.0,
26,26,Super built-up  Area,18-Apr,Devanahalli,1 BHK,Sabixtt,658,1.0,1.0,38.7
27,27,Carpet  Area,18-Dec,Bhoganhalli,2 BHK,Rosha I,896.9,2.0,1.0,15.3
28,28,Plot  Area,Ready To Move,Giri Nagar,4 Bedroom,Unknown,4000,3.0,2.0,10.2
29,29,Built-up  Area,Ready To Move,KR Puram,2 BHK,SViseun,1035,2.0,2.0,11.9
30,30,Plot  Area,Ready To Move,Whitefield,4 Bedroom,MIntare,2064,5.0,2.0,17.3
31,31,Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1839,3.0,3.0,9.6
32,32,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2.0,2.0,10.8
33,33,Built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,KHatsFl,488,1.0,1.0,21.5
34,34,Built-up  Area,Ready To Move,Banashankari Stage II,3 BHK,Unknown,1200,2.0,1.0,9.5
35,35,Built-up  Area,Ready To Move,Sampangirama Nagar,5 Bedroom,Unknown,2760,5.0,1.5947635795232513,
36,36,Super built-up  Area,Ready To Move,Gunjur Palya,2 BHK,Evvan V,993,2.0,2.0,16.6
37,37,Super built-up  Area,Ready To Move,Hoodi,2 BHK,Siiewag,1225,2.0,1.0,13.3
38,38,Plot  Area,Ready To Move,TC Palaya,2 Bedroom,Unknown,900,2.0,0.0,12.2
39,39,Plot  Area,18-Feb,Electronic City,9 Bedroom,Unknown,1200,13.0,1.5947635795232513,18.1
40,40,Built-up  Area,Ready To Move,Sompura,2 BHK,Suiseit,825,2.0,1.0,26.5
41,41,Super built-up  Area,Ready To Move,Bellandur,4 BHK,Unknown,3596,4.0,2.0,12.9
42,42,Plot  Area,Ready To Move,Hosahalli Extension,6 Bedroom,Unknown,1350,4.0,1.0,9.9
43,43,Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,SJmesst,1800,3.0,3.0,19.3
44,44,Super built-up  Area,Ready To Move,Shankarapuram,2 BHK,Unknown,925,2.0,1.0,6.1
45,45,Super built-up  Area,21-Mar,Kanakpura Road,2 BHK,GolusLi,1167,2.0,1.0,26.5
46,46,Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Unknown,1150,2.0,1.0,17.2
47,47,Super built-up  Area,18-Aug,Byatarayanapura,1 BHK,Hisic G,650,1.0,1.0,14.3
48,48,Built-up  Area,Ready To Move,Sarjapur  Road,1 BHK,Shthi S,675,1.0,1.0,17.2
49,49,Plot  Area,Ready To Move,Doctor Layout Rayasandra,2 Bedroom,Unknown,2260,3.0,1.0,
50,50,Super built-up  Area,18-Apr,Anwar Layout,1 BHK,UKicte ,660 - 780,1.0,0.0,
51,51,Plot  Area,Ready To Move,Whitefield,3 Bedroom,Toindls,4800,4.0,2.0,17.3
52,52,Super built-up  Area,Ready To Move,Yelahanka New Town,2 BHK,Unknown,1100,2.0,1.0,21.5
53,53,Super built-up  Area,Ready To Move,Pillanna Gardens,2 BHK,Unknown,550,1.0,1.0,
54,54,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1330,2.0,1.0,12.9
55,55,Super built-up  Area,Ready To Move,Koramangala,2 BHK,Proodt ,1320,2.0,1.0,8.3
56,56,Super built-up  Area,Ready To Move,Ulsoor,3 BHK,Unknown,1685,4.0,2.0,3.1
57,57,Super built-up  Area,Ready To Move,Ullal Uppanagar,6 BHK,Unknown,2400,5.0,2.0,
58,58,Super built-up  Area,18-Apr,Banashankari,3 BHK,Bregae ,1770,3.0,3.0,11.2
59,59,Super built-up  Area,Ready To Move,Prithvi Layout,3 BHK,Prigh L,2100,3.0,3.0,17.3
60,60,Super built-up  Area,Ready To Move,Pai Layout,2 BHK,Unknown,1000,2.0,3.0,7.1
61,61,Plot  Area,Ready To Move,Banashankari Stage VI,4 Bedroom,Unknown,600,5.0,1.0,14.9
62,62,Plot  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,Unknown,2916,5.0,1.0,11.7
63,63,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,SoapeSu,1419.59,2.0,1.0,26.5
64,64,Super built-up  Area,Ready To Move,Kodihalli,3 BHK,KAMESRI,1400,3.0,1.5947635795232513,6.1
65,65,Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,Unknown,750,2.0,1.0,12.2
66,66,Super built-up  Area,Ready To Move,Bannerghatta,2 BHK,Unknown,1070,2.0,1.0,20.4
67,67,Super built-up  Area,18-Dec,Kannamangala,3 BHK,Sonue A,1536,3.0,1.0,23.1
68,68,Built-up  Area,Ready To Move,Koramangala,3 BHK,K ncy R,1710,3.0,2.0,8.3
69,69,Carpet  Area,Ready To Move,JP Nagar,3 BHK,Saacy A,2400,3.0,3.0,9.9
