Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,4/26/2024,QM24S2402528,1,725.4,"39,04,70,936","30,716","19,66,31,588",92,"8,42,74,754","17,13,126","57,67,700","65,15,65,900","5,33,22,81,936","15,05,97,040",210,"40,975",684,62,"1,75,98,718",114,"1,80,04,655","22,931","48,18,457","26,69,262",,0
Not Like Us,Not Like Us,Kendrick Lamar,05-04-2024,USUG12400910,2,545.9,"32,37,03,884","28,113","17,45,97,137",92,"11,63,47,040","34,86,739","6,74,700","3,52,23,547","20,83,39,025","15,63,80,351",188,"40,778",3,67,"1,04,22,430",111,"77,80,028","28,444","66,23,075","11,18,279",,1
Nice to Meet You,Nice to Meet You,Imagine Dragons,5/24/2024,USUM72404007,"2,623",27.5,"1,50,62,636","1,446","3,99,11,356",75,"45,07,011","1,12,133","1,034","5,70,876","63,72,350","11,20,54,624",40,258,,29,"8,94,139",29,"10,20,471",224,,"27,497",,0
Verte Ir,Verte Ir,DJ Luian,3/28/2019,QZ7B81700011,"2,622",27.5,"55,09,67,367","65,928","1,89,45,081",64,"72,84,68,384","34,73,098","11,200","19,30,550","2,08,47,094","13,71,02,567",35,"3,884",17,7,"2,93,349",12,"7,37,00,065","8,531",,"13,53,531",,0
Pink + White,Blonde,Frank Ocean,8/20/2016,QZ5C81600003,"2,642",27.4,"1,29,96,50,856","2,28,950","7,17,08,447",83,"15,80,16,588","12,86,636","1,30,802","6,83,03,456","44,20,90,971","4,55,453",163,"6,091",221,46,"12,75,701",41,"2,48,19,579","19,292","90,43,608","21,87,716",,0
Mother,Takin' It Back (Deluxe),Meghan Trainor,03-04-2023,USSM12300425,"2,640",27.4,"7,97,38,242","12,390","22,74,976",57,"5,11,24,809","8,45,191","7,02,284","22,47,08,419","2,67,88,19,017","43,18,70,420",15,"54,053","1,088",4,"7,837",7,"83,18,506","13,444",,"5,38,792",,1
Flashback (feat. Gazo),Flashback,Favï¿,9/15/2023,DGA082396900,"2,654",27.4,"8,80,14,813","16,418","47,88,967",66,"5,30,97,639","3,93,538","99,500","32,76,455","2,65,17,142","11,81,25,080",10,"6,432",,15,"54,75,765",12,13,,"4,10,078","5,41,305",,1
Space Song,Depression Cherry,Beach House,8/21/2015,USSUB1512203,"2,646",27.4,"1,09,90,69,598","2,61,122","7,10,73,470",73,"12,75,34,602","16,60,824","4,96,525","33,87,53,643","2,58,81,57,478","35,93,056",88,"4,491",9,14,"2,64,505",38,"2,44,47,183","25,737","1,60,00,671","78,87,047",,0
OKAY,OKAY (Versions),JT,4/24/2024,USUG12400080,"2,641",27.4,"1,64,46,111","1,966","3,65,76,049",65,"55,78,963","1,38,920",,,,,33,370,29,5,"86,874",42,"16,87,958","1,032","9,80,462","1,78,540",,1
Rude,Rude,MAGIC!,7/23/2013,TCABP1349192,"2,650",27.4,,"1,472","2,87,308",,"2,54,10,95,833","1,24,72,238",,,,"1,74,31,56,344",,,,,,,,,,,,0
Chill Bill,The RCA-List (Vol. 2),Rob $tone,01-01-2016,USRC11601124,"2,649",27.4,"84,38,61,768","1,55,472","2,03,40,958",70,"27,81,20,145","26,25,552","18,775","26,69,418","1,67,56,000","10,75,983",30,600,49,18,"99,006",,"34,62,03,131","4,41,719",,"44,09,923",,1
My Way,My Way,Calvin Harris,9/16/2016,GBARL1601358,"2,636",27.4,"1,01,45,34,913","1,32,592","4,19,64,503",73,"61,59,07,345","34,61,084","4,53,551","1,02,68,320","5,60,11,096","17,13,05,180",146,"51,151",10,99,"6,07,512",10,"11,10,67,662","33,355",,"83,39,785",,0
Big City Life,Big City Life,Luude,6/16/2022,AUDCB1702119,"2,653",27.4,"18,13,23,700","71,547","1,34,71,679",65,"1,75,10,125","1,16,193","37,362","1,25,50,708","16,07,30,392","1,61,09,408",23,"16,173",,4,"4,860",2,3,,"59,48,682","7,80,420",,0
Luchï¿½ï¿½ La,Luchï¿½ï¿½ La Ley - Si,BoomBoxRepairKit,5/20/2022,QZHN62294886,"2,645",27.4,,,,,"51,10,29,390","16,11,310",,,,,,1,,,,,,,,10,,0
