ID,area_type,availability,location,size,total_sqft,bath,balcony,price,total_sqft_category,dist_from_city,avg_2bhk_rent,dist_from_city_cat
0,Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,1056,2,1.0,39.07,5,19.3,11500.0,5
1,Plot  Area,Ready To Move,Chikka Tirupathi,4 BHK,2600,5,3.0,120.0,5,34.6,17414.0,7
2,Built-up  Area,Ready To Move,Uttarahalli,3 BHK,1440,2,3.0,62.0,5,12.9,19750.0,4
3,Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,1521,3,1.0,95.0,5,21.4,11184.0,6
4,Super built-up  Area,Ready To Move,Kothanur,2 BHK,1200,2,1.0,51.0,5,11.8,16375.0,4
5,Super built-up  Area,Ready To Move,Whitefield,2 BHK,1170,2,1.0,38.0,5,17.3,14981.0,5
6,Super built-up  Area,18-May,Old Airport Road,4 BHK,2732,4,2.0,204.0,5,9.9,15465.0,4
7,Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,3300,4,2.0,600.0,5,9.6,15465.0,4
8,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1310,3,1.0,63.25,5,10.9,16620.0,4
9,Plot  Area,Ready To Move,Gandhi Bazar,6 BHK,1020,6,2.0,370.0,5,15.179954252443338,15867.0,5
10,Super built-up  Area,18-Feb,Whitefield,3 BHK,1800,2,2.0,70.0,5,17.3,14981.0,5
11,Plot  Area,Ready To Move,Whitefield,4 BHK,2785,5,3.0,295.0,5,17.3,14981.0,5
12,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1000,2,1.0,38.0,4,11.0,15465.0,4
13,Built-up  Area,Ready To Move,Gottigere,2 BHK,1100,2,2.0,40.0,5,15.2,11000.0,5
14,Plot  Area,Ready To Move,Sarjapur,3 BHK,2250,3,2.0,148.0,5,17.2,45000.0,5
15,Super built-up  Area,Ready To Move,Mysore Road,2 BHK,1175,2,2.0,73.5,5,28.6,11184.0,6
16,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1180,3,2.0,48.0,5,38.4,17414.0,7
17,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1540,3,3.0,60.0,5,15.3,15867.0,5
18,Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,2770,4,2.0,290.0,5,12.4,15465.0,4
19,Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,1100,2,2.0,48.0,5,10.4,15465.0,4
20,Built-up  Area,Ready To Move,Kengeri,1 BHK,600,1,1.0,15.0,4,22.5,12000.0,6
21,Super built-up  Area,19-Dec,Binny Pete,3 BHK,1755,3,1.0,122.0,5,8.6,15465.0,4
22,Plot  Area,Ready To Move,Thanisandra,4 BHK,2800,5,2.0,380.0,5,11.5,13500.0,4
23,Super built-up  Area,Ready To Move,Bellandur,3 BHK,1767,3,1.0,103.0,5,12.9,19667.0,4
24,Super built-up  Area,18-Nov, Thanisandra,1 RK,510,1,0.0,25.25,4,15.179954252443338,15867.0,5
25,Super built-up  Area,18-May,Mangammanapalya,3 BHK,1250,3,2.0,56.0,5,15.179954252443338,15867.0,5
26,Super built-up  Area,Ready To Move,Electronic City,2 BHK,660,1,1.0,23.1,4,18.1,15867.0,5
27,Built-up  Area,20-Dec,Whitefield,3 BHK,1610,3,2.0,81.0,5,17.3,14981.0,5
28,Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,1151,2,2.0,48.77,5,15.4,19867.0,5
29,Super built-up  Area,Ready To Move,Electronic City,3 BHK,1025,2,1.0,47.0,5,18.1,15867.0,5
30,Super built-up  Area,19-Dec,Yelahanka,4 BHK,2475,4,0.0,186.0,5,20.8,8500.0,6
31,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075,2,1.0,35.0,5,38.4,17414.0,7
32,Super built-up  Area,Ready To Move,Hebbal,3 BHK,1760,2,2.0,123.0,5,11.1,17340.0,4
33,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1693,3,3.0,57.39,5,15.3,15867.0,5
34,Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,1925,3,2.0,125.0,5,8.6,21278.0,4
35,Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,700,2,1.0,36.0,4,26.5,11184.0,6
36,Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,1070,2,1.0,45.5,5,20.3,11184.0,6
37,Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,1724,3,2.0,125.0,5,17.4,15867.0,5
38,Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,1290,2,2.0,56.12,5,12.1,21000.0,4
39,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,1143,2,2.0,45.0,5,12.9,19750.0,4
40,Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,1296,2,1.0,81.0,5,6.8,18875.0,3
41,Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,1254,3,2.0,38.0,5,17.2,15867.0,5
42,Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,600,1,0.0,38.0,4,8.6,15465.0,4
43,Plot  Area,Ready To Move,Yelahanka,1 BHK,660,1,0.0,48.0,4,20.8,8500.0,6
44,Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,1331,2,2.0,91.79,5,26.5,11184.0,6
45,Plot  Area,Ready To Move,HSR Layout,8 BHK,600,9,1.0,200.0,4,10.5,20521.0,4
46,Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,970,2,0.0,33.0,4,19.6,13625.0,5
47,Super built-up  Area,20-Sep,Whitefield,2 BHK,1459,2,1.0,94.82,5,17.3,14981.0,5
48,Plot  Area,Ready To Move,KR Puram,2 BHK,800,1,1.0,130.0,4,11.9,15465.0,4
49,Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,869,2,1.0,36.0,4,15.179954252443338,15867.0,5
50,Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,1270,2,1.0,50.0,5,15.179954252443338,15867.0,5
51,Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,1670,3,1.0,99.0,5,15.3,15867.0,5
52,Built-up  Area,Ready To Move,Whitefield,3 BHK,2010,3,2.0,91.0,5,17.3,14981.0,5
53,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,1185,2,2.0,75.0,5,13.3,15867.0,5
54,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1600,2,3.0,75.0,5,20.8,8500.0,6
55,Super built-up  Area,Ready To Move,Begur Road,2 BHK,1200,2,2.0,44.0,5,10.8,15465.0,4
56,Built-up  Area,20-Feb,Devanahalli,4 BHK,3210,4,1.0,192.0,5,38.7,17302.0,7
57,Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,1500,2,2.0,185.0,5,12.4,15465.0,4
58,Plot  Area,Ready To Move,Murugeshpalya,6 BHK,1407,4,1.0,150.0,5,6.8,18875.0,3
59,Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,840,2,2.0,45.0,4,15.179954252443338,15867.0,5
